system,run_id,method,model,prompt_name,repeat_index,ok,startup_latency_s,memory_gpu_used_ready_mib,memory_cpu_used_ready_mib,memory_gpu_used_evict_mib,memory_cpu_used_evict_mib,evict_latency_s,restore_latency_s,restore_latency_estimated,ttft_before_s,ttft_after_s,latency_before_s,latency_after_s,output_tokens_before,output_tokens_after,tpot_before_s,tpot_after_s,ttft_available,tpot_available,error
vllm,20260604_210320_cold_reload_short_short_0_58ae9d3c,cold_reload,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,0,True,26.534957543946803,9173,3458.4296875,1,,0.3642286828253418,16.522209394956008,False,0.3791119041852653,0.06332416995428503,0.5535928520839661,0.2312753580044955,28,28,0.006462257329581512,0.006220414372230017,True,True,
vllm,20260604_210407_cold_reload_short_short_1_240e7568,cold_reload,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,1,True,16.521075813099742,9191,3362.3359375,1,,0.36422138614580035,17.022691352060065,False,0.06421365099959075,0.06294641178101301,0.23236716305837035,0.23545273183844984,28,28,0.006227907854028874,0.006389122965090253,True,True,
vllm,20260604_210444_cold_reload_short_short_2_e39b4645,cold_reload,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,2,True,17.023385528009385,9191,3370.00390625,1,,0.36487992689944804,16.52285298006609,False,0.06334218895062804,0.06359007093124092,0.23737899214029312,0.23206751490943134,28,28,0.006445807525543151,0.006239905332525571,True,True,
vllm,20260604_210521_cold_reload_long_short_0_b94991f6,cold_reload,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,long_short,0,True,17.022223582025617,9191,3365.68359375,1,,0.3640344759915024,17.024530098075047,False,0.11660024290904403,0.11888921703211963,0.24031685898080468,0.2476632189936936,15,15,0.008836901147982903,0.009198142997255283,True,True,
vllm,20260604_210559_cold_reload_long_short_1_c9b5ee49,cold_reload,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,long_short,1,True,17.02343117003329,9191,3367.93359375,1,,0.36427242518402636,17.023059916915372,False,0.13223189301788807,0.12261786707676947,0.26004986884072423,0.25084114307537675,15,15,0.009129855415916868,0.009158805428471948,True,True,
vllm,20260604_210637_cold_reload_long_short_2_907cbdd6,cold_reload,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,long_short,2,True,17.02431458211504,9191,3369.6328125,1,,0.3643934950232506,16.52247332688421,False,0.13373695500195026,0.11696241796016693,0.25870975013822317,0.24085046886466444,15,15,0.008926628224019493,0.008849146493178393,True,True,
vllm,20260604_210714_cold_reload_short_long_0_38aedba0,cold_reload,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_long,0,True,16.521729397121817,9191,3369.7265625,1,,0.36415739892981946,16.522778798127547,False,0.06268580304458737,0.06356797995977104,0.9486836139112711,0.9491150178946555,133,133,0.006712104627777907,0.006708689681324882,True,True,
vllm,20260604_210752_cold_reload_short_long_1_4d845b1f,cold_reload,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_long,1,True,16.522070390870795,9191,3365.140625,1,,0.36441393103450537,16.523072331910953,False,0.06437940988689661,0.06329370196908712,0.9506951018702239,0.9497015930246562,133,133,0.006714512818055509,0.006715211295875523,True,True,
vllm,20260604_210830_cold_reload_short_long_2_cb8a06e6,cold_reload,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_long,2,True,17.023968633031473,9191,3370.921875,1,,0.3641470340080559,16.522237186087295,False,0.0646817390806973,0.0631531800609082,0.955417277989909,0.9494505510665476,133,133,0.006747996506887968,0.0067143740227699955,True,True,
vllm,20260604_210909_sleep_l1_short_short_0_9687be48,sleep_l1,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,0,True,27.034995954018086,9213,3449.78125,1259,7328.15234375,0.9940521530807018,0.35578966001048684,False,0.376252155052498,0.012908839154988527,0.5504402779042721,0.18624414410442114,28,28,0.0064514119574731145,0.006419826109238245,True,True,
vllm,20260604_210941_sleep_l1_short_short_1_ce2e88ea,sleep_l1,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,1,True,17.02292110491544,9213,3372.671875,883,7244.5078125,0.9946240321733057,0.34072472294792533,False,0.0623457960318774,0.012872268911451101,0.2302351149264723,0.1861751910764724,28,28,0.006218122922022034,0.006418626746852641,True,True,
vllm,20260604_211003_sleep_l1_short_short_2_d4b64242,sleep_l1,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,2,True,17.02339223213494,9213,3372.34765625,883,7244.39453125,0.9904681970365345,0.34411864494904876,False,0.0632918318733573,0.013118514092639089,0.231210625031963,0.1861902899108827,28,28,0.006219214561429841,0.00641006577104606,True,True,
vllm,20260604_211026_sleep_l1_long_short_0_204d9245,sleep_l1,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,long_short,0,True,17.02647830802016,9213,3371.3828125,883,7244.33203125,1.0047329221852124,0.3462474551051855,False,0.11691291304305196,0.06681689200922847,0.24063355894759297,0.19546119309961796,15,15,0.008837188993181502,0.009188878649313535,True,True,
vllm,20260604_211048_sleep_l1_long_short_1_9074b024,sleep_l1,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,long_short,1,True,17.023995836963877,9213,3371.4375,883,7244.375,0.9935490977950394,0.34660623082891107,False,0.11764979502186179,0.0718545001000166,0.24139797501266003,0.20072043198160827,15,15,0.008839155713628446,0.00920470942011369,True,True,
vllm,20260604_211110_sleep_l1_long_short_2_8561ce0d,sleep_l1,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,long_short,2,True,17.024113117950037,9213,3374.890625,883,7247.82421875,0.9981356919743121,0.3449539269786328,False,0.12377953506074846,0.06750870612449944,0.2470457530580461,0.1963045010343194,15,15,0.008804729856949831,0.009199699636415712,True,True,
