system,run_id,method,model,prompt_name,repeat_index,ok,startup_latency_s,memory_gpu_used_ready_mib,memory_cpu_used_ready_mib,memory_gpu_used_evict_mib,memory_cpu_used_evict_mib,evict_latency_s,restore_latency_s,restore_latency_estimated,ttft_before_s,ttft_after_s,latency_before_s,latency_after_s,output_tokens_before,output_tokens_after,tpot_before_s,tpot_after_s,ttft_available,tpot_available,error
vllm,20260721_122418_cold_reload_short_short_0_1c1e2b98,cold_reload,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,0,True,26.0320026287809,7267,2952.7734375,1,,0.5140216406434774,13.01645424682647,False,0.28006595093756914,0.10264466796070337,0.46214599814265966,0.2787750978022814,28,28,0.0067437054520403895,0.006523349253391778,True,True,
vllm,20260721_122500_cold_reload_short_short_1_bf2e1645,cold_reload,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,1,True,12.517508884891868,7267,2991.453125,1,,0.3638605745509267,12.517316488549113,False,0.09880675375461578,0.09932112973183393,0.27805971447378397,0.27354409266263247,28,28,0.0066389985451543775,0.006452702330770316,True,True,
vllm,20260721_122527_cold_reload_short_short_2_9de5df84,cold_reload,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,2,True,13.016426008194685,7267,2987.671875,1,,0.31395559292286634,13.5160394590348,False,0.10259719099849463,0.10921359527856112,0.2936952728778124,0.28981549851596355,28,28,0.007077706736271028,0.006688959379163053,True,True,
vllm,20260721_122556_cold_reload_short_short_3_2cb6de2d,cold_reload,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,3,True,13.519155327230692,7267,2987.67578125,1,,0.36404447443783283,13.018335525877774,False,0.10316721629351377,0.10273546725511551,0.2795748794451356,0.2782642785459757,28,28,0.006533617153763771,0.006501067084846673,True,True,
vllm,20260721_122626_cold_reload_short_short_4_b1d475bc,cold_reload,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,4,True,13.017339137382805,7267,2989.03515625,1,,0.3637702176347375,12.51562490966171,False,0.10154115967452526,0.0996858449652791,0.2800137950107455,0.27670055627822876,28,28,0.006610097605045195,0.006556100418998135,True,True,
vllm,20260721_122654_sleep_l1_short_short_0_fa3914de,sleep_l1,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,0,True,13.016510599292815,7289,2980.49609375,417,6936.62890625,0.9399392195045948,0.2798028076067567,False,0.09913131315261126,0.016447676345705986,0.27780093252658844,0.19005899596959352,28,28,0.006617393310147303,0.006430048874958798,True,True,
vllm,20260721_122710_sleep_l1_short_short_1_e03fbe8c,sleep_l1,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,1,True,13.016894101165235,7289,2989.25390625,417,6945.33984375,1.1147794304415584,0.3008938292041421,False,0.09960962645709515,0.01619884092360735,0.2841235548257828,0.19050592370331287,28,28,0.006833849198840282,0.0064558178807298345,True,True,
vllm,20260721_122727_sleep_l1_short_short_2_54286b0c,sleep_l1,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,2,True,13.016678335145116,7289,2992.609375,417,6948.734375,1.2455360172316432,0.2883488880470395,False,0.10103814210742712,0.017814251594245434,0.2735252967104316,0.19127238914370537,28,28,0.006388413133444609,0.006424375464794812,True,True,
vllm,20260721_122745_sleep_l1_short_short_3_35b555cb,sleep_l1,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,3,True,13.015371482819319,7289,2992.47265625,417,6948.4453125,1.046142186038196,0.2866235598921776,False,0.09894996136426926,0.01624684315174818,0.2711430350318551,0.1985934553667903,28,28,0.006377521246947624,0.006753578230186745,True,True,
vllm,20260721_122801_sleep_l1_short_short_4_891ecee1,sleep_l1,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,4,True,13.015064552426338,7289,2989.06640625,417,6945.1796875,1.0278242519125342,0.282891808077693,False,0.09892696142196655,0.016790098510682583,0.27104268968105316,0.19044157676398754,28,28,0.006374656602188393,0.006431536231603887,True,True,
