system,run_id,method,model,prompt_name,repeat_index,operation,phase,pid,latency_s,copy_d2h_s,copy_h2d_s,create_map_s,unmap_release_s,metadata_s,cpu_backup_alloc_s,cpu_backup_pool_hit_count,cpu_backup_pool_miss_count,cpu_backup_pool_reserved_bytes,cpu_backup_pool_free_bytes,cpu_backup_data_ptr_s,assign_backup_s,discard_accounting_s,loop_s,loop_accounted_s,loop_unaccounted_s,logger_s,gc_s,empty_cache_s,accounted_s,unaccounted_s,allocator_sleep_s,allocator_wake_up_s,buffer_backup_s,restore_buffers_s,post_kv_cache_wake_up_s,get_iterator_s,iterator_first_yield_s,iterator_total_s,iterator_gap_s,iterator_consumer_s,initialize_layerwise_reload_s,model_load_weights_s,finalize_layerwise_reload_s,is_checkpoint_format,weights_from_disk,weights_path,iterator_tensor_count,iterator_tensor_bytes,cpu_backup_pin_memory,allocation_count,total_bytes,backup_bytes,discard_bytes,bytes,bytes_by_tag,backup_bytes_by_tag,discard_bytes_by_tag,restored_bytes_by_tag,remapped_without_backup_bytes_by_tag
vllm,20260721_123228_sleep_l1_short_short_0_778abc32,sleep_l1,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,0,sleep,allocator_sleep,3239923,2.364720432087779,0.34288758225739,,,0.019572259858250618,,1.9942700546234846,0,112,6314524672,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,130,6692012032,6314524672,377487360,,"{""kv_cache"": 377487360, ""weights"": 6314524672}","{""weights"": 6314524672}","{""kv_cache"": 377487360}",{},{}
vllm,20260721_123228_sleep_l1_short_short_0_778abc32,sleep_l1,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,0,wake,allocator_wake_up,3239923,0.4906558785587549,,0.3738320888951421,0.11644684616476297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,6692012032,"{""kv_cache"": 377487360, ""weights"": 6314524672}",{},{},"{""weights"": 6314524672}","{""kv_cache"": 377487360}"
vllm,20260721_123248_sleep_l1_short_short_1_cf22ac1d,sleep_l1,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,1,sleep,allocator_sleep,3240457,2.2262299628928304,0.34641307685524225,,,0.021778644062578678,,1.8499820455908775,0,112,6314524672,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,130,6692012032,6314524672,377487360,,"{""kv_cache"": 377487360, ""weights"": 6314524672}","{""weights"": 6314524672}","{""kv_cache"": 377487360}",{},{}
vllm,20260721_123248_sleep_l1_short_short_1_cf22ac1d,sleep_l1,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,1,wake,allocator_wake_up,3240457,0.49097401089966297,,0.3732969108968973,0.11730514466762543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,6692012032,"{""kv_cache"": 377487360, ""weights"": 6314524672}",{},{},"{""weights"": 6314524672}","{""kv_cache"": 377487360}"
vllm,20260721_123308_sleep_l1_short_short_2_009da5a9,sleep_l1,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,2,sleep,allocator_sleep,3240988,2.362465037032962,0.3465485367923975,,,0.019855414517223835,,1.9860425284132361,0,112,6314524672,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,130,6692012032,6314524672,377487360,,"{""kv_cache"": 377487360, ""weights"": 6314524672}","{""weights"": 6314524672}","{""kv_cache"": 377487360}",{},{}
vllm,20260721_123308_sleep_l1_short_short_2_009da5a9,sleep_l1,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,2,wake,allocator_wake_up,3240988,0.4993500402197242,,0.38387743569910526,0.11508837901055813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,6692012032,"{""kv_cache"": 377487360, ""weights"": 6314524672}",{},{},"{""weights"": 6314524672}","{""kv_cache"": 377487360}"
vllm,20260721_123328_sleep_l1_short_short_3_8591e86d,sleep_l1,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,3,sleep,allocator_sleep,3241517,2.491141904145479,0.3837031787261367,,,0.02379497140645981,,2.0751419439911842,0,112,6314524672,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,130,6692012032,6314524672,377487360,,"{""kv_cache"": 377487360, ""weights"": 6314524672}","{""weights"": 6314524672}","{""kv_cache"": 377487360}",{},{}
vllm,20260721_123328_sleep_l1_short_short_3_8591e86d,sleep_l1,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,3,wake,allocator_wake_up,3241517,0.5312498370185494,,0.4127847468480468,0.1179203623905778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,6692012032,"{""kv_cache"": 377487360, ""weights"": 6314524672}",{},{},"{""weights"": 6314524672}","{""kv_cache"": 377487360}"
vllm,20260721_123348_sleep_l1_short_short_4_c883d16a,sleep_l1,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,4,sleep,allocator_sleep,3242055,2.3993145348504186,0.36306929402053356,,,0.019369288347661495,,2.008590053766966,0,112,6314524672,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,130,6692012032,6314524672,377487360,,"{""kv_cache"": 377487360, ""weights"": 6314524672}","{""weights"": 6314524672}","{""kv_cache"": 377487360}",{},{}
vllm,20260721_123348_sleep_l1_short_short_4_c883d16a,sleep_l1,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,4,wake,allocator_wake_up,3242055,0.505837575532496,,0.3909758133813739,0.11449713166803122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,6692012032,"{""kv_cache"": 377487360, ""weights"": 6314524672}",{},{},"{""weights"": 6314524672}","{""kv_cache"": 377487360}"
