model,system,phase,n,median_s,q1_s,q3_s
qwen-0.5b,Proposed,sleep,5,0.050741168670356274,0.05066548567265272,0.05106340628117323
qwen-0.5b,Proposed,wake,5,0.29231134708970785,0.29048121627420187,0.2967609576880932
qwen-0.5b,vLLM L1,sleep,5,0.0857049897313118,0.08565117418766022,0.08587905298918486
qwen-0.5b,vLLM L1,wake,5,0.31531245820224285,0.31446624267846346,0.3154966617003083
qwen-0.5b,vLLM L2,sleep,5,0.053775690495967865,0.0537654934450984,0.05385342426598072
qwen-0.5b,vLLM L2,wake,5,0.4308017557486892,0.4298224952071905,0.4318449907004833
qwen-0.5b,SwapServeLLM,sleep,5,0.44082711078226566,0.4385090693831444,0.4429585738107562
qwen-0.5b,SwapServeLLM,wake,5,0.43157107662409544,0.4295143522322178,0.4316222183406353
qwen-0.5b,llama-swap,sleep,5,0.311849107,0.295493644,0.327733921
qwen-0.5b,llama-swap,wake,5,11.273113973,11.272652902,11.273204252
qwen-1.5b,Proposed,sleep,5,0.10558245331048965,0.10552578512579203,0.10559959430247545
qwen-1.5b,Proposed,wake,5,0.33662478160113096,0.3362028365954757,0.33664548862725496
qwen-1.5b,vLLM L1,sleep,5,0.20587693247944117,0.20535635203123093,0.2060784948989749
qwen-1.5b,vLLM L1,wake,5,0.33504830207675695,0.3341145562008023,0.33517206367105246
qwen-1.5b,vLLM L2,sleep,5,0.10863084625452757,0.10848758835345507,0.10880979523062706
qwen-1.5b,vLLM L2,wake,5,0.6951010785996914,0.694784346036613,0.6952484678477049
qwen-1.5b,SwapServeLLM,sleep,5,0.6618002168834209,0.6570898648351431,0.6622531302273273
qwen-1.5b,SwapServeLLM,wake,5,0.6560735246166587,0.6528878984972835,0.6600196529179811
qwen-1.5b,llama-swap,sleep,5,0.292531394,0.292505052,0.29787409
qwen-1.5b,llama-swap,wake,5,12.273512146,12.272566358,12.275101267
qwen-3b,Proposed,sleep,5,0.15661145467311144,0.15658946614712477,0.1567243067547679
qwen-3b,Proposed,wake,5,0.47706698160618544,0.47669821605086327,0.4771578721702099
qwen-3b,vLLM L1,sleep,5,0.3490944169461727,0.34870145935565233,0.3492412315681577
qwen-3b,vLLM L1,wake,5,0.47435503732413054,0.4740958968177438,0.4750942764803767
qwen-3b,vLLM L2,sleep,5,0.15891772974282503,0.15876482613384724,0.15914852730929852
qwen-3b,vLLM L2,wake,5,1.477532991208136,1.4429530892521143,1.481755525805056
qwen-3b,SwapServeLLM,sleep,5,0.9314349535852671,0.9248143965378404,0.9322177264839411
qwen-3b,SwapServeLLM,wake,5,1.0165607379749417,1.0141072804108262,1.0288763623684645
qwen-3b,llama-swap,sleep,5,0.29239115,0.287881607,0.299045366
qwen-3b,llama-swap,wake,5,13.275931994,13.275597484,13.276225743
