model,system,phase,n,median_s,q1_s,q3_s
qwen-0.5b,Proposed,sleep,5,0.07275940477848053,0.0727581949904561,0.0737732145935297
qwen-0.5b,Proposed,wake,5,0.15669931285083294,0.15613765455782413,0.1572078224271536
qwen-0.5b,vLLM L1,sleep,5,0.08970199804753065,0.08933353237807751,0.08979170583188534
qwen-0.5b,vLLM L1,wake,5,0.15398158505558968,0.15386532619595528,0.1542814252898097
qwen-0.5b,llama-swap,sleep,5,0.29695856012403965,0.2963341660797596,0.2995871305465698
qwen-0.5b,llama-swap,wake,4,12.369298560544848,12.36808078433387,12.373560944804922
qwen-1.5b,Proposed,sleep,5,0.09830331057310104,0.09820562228560448,0.09847690165042877
qwen-1.5b,Proposed,wake,5,0.26373637840151787,0.2634820006787777,0.26409988570958376
qwen-1.5b,vLLM L1,sleep,5,0.2001335583627224,0.20003367122262716,0.20059684850275517
qwen-1.5b,vLLM L1,wake,5,0.2643505437299609,0.2643032241612673,0.2649392820894718
qwen-1.5b,llama-swap,sleep,5,0.3009848212823272,0.2984990254044533,0.3012233227491379
qwen-1.5b,llama-swap,wake,4,12.370832445565611,12.367520439671353,12.375269992277026
qwen-3b,Proposed,sleep,5,0.15588403027504683,0.1557814246043563,0.1571155423298478
qwen-3b,Proposed,wake,5,0.4773695860058069,0.47639763727784157,0.47830558754503727
qwen-3b,vLLM L1,sleep,5,0.3528639720752835,0.35279009491205215,0.3540599336847663
qwen-3b,vLLM L1,wake,5,0.47725914884358644,0.4765551798045635,0.4775986121967435
qwen-3b,llama-swap,sleep,5,0.30192880518734455,0.30133381206542253,0.30527863930910826
qwen-3b,llama-swap,wake,4,13.370899632107466,13.36758104711771,13.62158508459106
