method,direction,host_memory,size_bytes,repeats,warmups,mean_s,median_s,min_s,max_s,stdev_s,mean_gbps,median_gbps,min_time_gbps
torch.copy_.event.nb=True,H2D,pinned,268435456,7,3,0.013376850128173828,0.013365599632263183,0.0133438081741333,0.01346463966369629,4.339812146565223e-05,20.06716479798418,20.084056337586564,20.116855135879177
torch.copy_.event.nb=True,D2H,pinned,268435456,7,3,0.013498052597045899,0.013495327949523926,0.013487872123718261,0.013513504028320312,9.362153458493398e-06,19.886976589404323,19.890991682752666,19.90198702491844
vllm.CudaRTLibrary.cudaMemcpy.wall,H2D,pinned,268435456,7,3,0.01341667106109006,0.013374154455959797,0.013359994627535343,0.013554121367633343,7.479343213480973e-05,20.00760507414501,20.071209502173776,20.09248233129874
vllm.CudaRTLibrary.cudaMemcpy.wall,D2H,pinned,268435456,7,3,0.013539475921009268,0.013512196019291878,0.013507286086678505,0.013594508171081543,3.790726129459617e-05,19.826133416542916,19.866160586831665,19.873381986389045
torch.copy_.event.nb=True,H2D,pageable,268435456,7,3,0.019477412360055107,0.01946460723876953,0.01943084716796875,0.019543903350830078,3.8420382358608806e-05,13.781884936138434,13.790951582384427,13.814912632451193
torch.copy_.event.nb=True,D2H,pageable,268435456,7,3,0.01965479796273368,0.01951411247253418,0.019490367889404298,0.020339744567871094,0.0003088302906618993,13.657502687586252,13.755965400825628,13.772723917947781
vllm.CudaRTLibrary.cudaMemcpy.wall,H2D,pageable,268435456,7,3,0.019685481674969196,0.01964547671377659,0.019543079659342766,0.01998155564069748,0.00015699037178952175,13.63621477148438,13.663982804334644,13.735576003328203
vllm.CudaRTLibrary.cudaMemcpy.wall,D2H,pageable,268435456,7,3,0.01958404162100383,0.0195099962875247,0.019481642171740532,0.019836734980344772,0.00014783446337816983,13.706846686442072,13.7588676104283,13.778892643320601
torch.copy_.event.nb=True,H2D,pinned,536870912,7,3,0.026833417347499302,0.026834463119506834,0.02679862403869629,0.02688252830505371,2.6236089267099545e-05,20.007548984439463,20.006769265666108,20.03352527446099
torch.copy_.event.nb=True,D2H,pinned,536870912,7,3,0.027072832107543944,0.027071264266967772,0.027048160552978515,0.02711363220214844,2.154088518761808e-05,19.830615055984445,19.831763552139947,19.848703239854157
vllm.CudaRTLibrary.cudaMemcpy.wall,H2D,pinned,536870912,7,3,0.026849090786916868,0.026836001314222813,0.0268234945833683,0.026904267258942127,2.8702703781314494e-05,19.99586936707773,20.005622511110246,20.014950338830296
vllm.CudaRTLibrary.cudaMemcpy.wall,D2H,pinned,536870912,7,3,0.027108229297612394,0.02709291409701109,0.027077744714915752,0.027187001891434193,3.8576388235839444e-05,19.80472077706993,19.815916075976045,19.827017266481025
torch.copy_.event.nb=True,H2D,pageable,536870912,7,3,0.03907305581229074,0.039067359924316404,0.039024288177490235,0.03912345504760742,3.247544362100672e-05,13.74018235428423,13.742185626058633,13.75735310169411
torch.copy_.event.nb=True,D2H,pageable,536870912,7,3,0.03902004187447684,0.039074848175048825,0.03880793762207031,0.03919440078735351,0.00013112072470642048,13.758850226943741,13.739552092305196,13.834049034718047
vllm.CudaRTLibrary.cudaMemcpy.wall,H2D,pageable,536870912,7,3,0.04073634756995099,0.03927545249462128,0.0391569659113884,0.046477535739541054,0.0027377300456320032,13.179161707566065,13.669375599772499,13.710738294047871
vllm.CudaRTLibrary.cudaMemcpy.wall,D2H,pageable,536870912,7,3,0.038834152211036,0.03880216088145971,0.03876651544123888,0.0389437023550272,6.729086234035074e-05,13.82471050436452,13.836108603336196,13.848830772881117
torch.copy_.event.nb=True,H2D,pinned,1073741824,7,3,0.053794669015066965,0.0538070068359375,0.053752639770507815,0.0538296012878418,3.340027798918109e-05,19.960004284053934,19.95542750173667,19.97561103202088
torch.copy_.event.nb=True,D2H,pinned,1073741824,7,3,0.05425703321184431,0.054222816467285155,0.054199073791503904,0.05442675018310547,7.866838021674338e-05,19.78991036623068,19.802398583405058,19.811073305985477
vllm.CudaRTLibrary.cudaMemcpy.wall,H2D,pinned,1073741824,7,3,0.053792022966912816,0.05380658898502588,0.05373917240649462,0.05382042657583952,3.083888735437505e-05,19.96098612354573,19.955582471485364,19.980617041847736
vllm.CudaRTLibrary.cudaMemcpy.wall,D2H,pinned,1073741824,7,3,0.05433195124247244,0.05435214564204216,0.054223865270614624,0.054467531852424145,9.422574314949318e-05,19.76262216698437,19.755279415674902,19.802015563466107
torch.copy_.event.nb=True,H2D,pageable,1073741824,7,3,0.07847433580671039,0.07850444793701172,0.07832089233398437,0.0786794204711914,0.00012165744296092322,13.682713118397412,13.677464808892356,13.709519797364344
torch.copy_.event.nb=True,D2H,pageable,1073741824,7,3,0.07797835867745535,0.07790863800048828,0.0778796157836914,0.07814345550537109,0.00011531601638522997,13.769741274516386,13.782063857839107,13.787199810824566
vllm.CudaRTLibrary.cudaMemcpy.wall,H2D,pageable,1073741824,7,3,0.07865421833204371,0.07860788144171238,0.07839841395616531,0.07903821486979723,0.00028095550423106613,13.65142069643527,13.659467782453568,13.695963602023355
vllm.CudaRTLibrary.cudaMemcpy.wall,D2H,pageable,1073741824,7,3,0.07812371690358434,0.0778730409219861,0.07784825470298529,0.07880158722400665,0.00041406476182903476,13.744121075615853,13.788363871338785,13.7927539685591
torch.copy_.event.nb=True,H2D,pinned,3221225472,7,3,0.16128192792619978,0.16124403381347657,0.16115090942382812,0.16155360412597655,0.0001318183957477506,19.972637439415937,19.977331227809895,19.988875542291556
torch.copy_.event.nb=True,D2H,pinned,3221225472,7,3,0.16262757437569755,0.16258912658691407,0.1625300750732422,0.16274143981933595,8.171638862240616e-05,19.807375744032296,19.81205963535362,19.819257885338416
vllm.CudaRTLibrary.cudaMemcpy.wall,H2D,pinned,3221225472,7,3,0.16129140462726355,0.16125084552913904,0.16117733903229237,0.16149722877889872,0.00012495881402465822,19.971463944058847,19.976487325878267,19.98559779768183
vllm.CudaRTLibrary.cudaMemcpy.wall,D2H,pinned,3221225472,7,3,0.16260584324066127,0.16253737825900316,0.16248290054500103,0.162864213809371,0.00013845063273939655,19.810022861432447,19.818367359580392,19.825012116323308
torch.copy_.event.nb=True,H2D,pageable,3221225472,7,3,0.23544485691615513,0.2355132141113281,0.23485250854492187,0.23597100830078124,0.0004837122724805799,13.68144335022412,13.677472341222064,13.715950883206572
torch.copy_.event.nb=True,D2H,pageable,3221225472,7,3,0.23295770481654576,0.23296726989746094,0.23261637878417968,0.23340570068359376,0.00028428152757194967,13.827512056477014,13.826944331784468,13.847801641640364
vllm.CudaRTLibrary.cudaMemcpy.wall,H2D,pageable,3221225472,7,3,0.23557479054267919,0.2355816699564457,0.23481924273073673,0.23683680035173893,0.0007449751820233787,13.673897213617215,13.673497910917856,13.717893961925961
vllm.CudaRTLibrary.cudaMemcpy.wall,D2H,pageable,3221225472,7,3,0.23298616521060467,0.23306509386748075,0.23266771528869867,0.2332461765035987,0.0002387848376891957,13.825822958578751,13.821140774652283,13.84474622103475
torch.copy_.event.nb=True,H2D,pinned,6442450944,7,3,0.33201253400530134,0.33204180908203124,0.3317330627441406,0.33217108154296876,0.0001502789372822492,19.4042401540694,19.402529343551393,19.42058741660291
torch.copy_.event.nb=True,D2H,pinned,6442450944,7,3,0.3334795663016183,0.33343414306640623,0.3333458557128906,0.3337385559082031,0.00014108680452196287,19.318877661526862,19.321509443371344,19.326626785931474
vllm.CudaRTLibrary.cudaMemcpy.wall,H2D,pinned,6442450944,7,3,0.3319605467841029,0.3319982476532459,0.331761272624135,0.3322817124426365,0.00019057587106737173,19.407278986650105,19.405075145844712,19.41893607123607
vllm.CudaRTLibrary.cudaMemcpy.wall,D2H,pinned,6442450944,7,3,0.333514011465013,0.3335817661136389,0.33333238679915667,0.33364000357687473,0.00012603764528111992,19.316882417324884,19.31295891576189,19.327407714155843
torch.copy_.event.nb=True,H2D,pageable,6442450944,7,3,0.4716366010393415,0.47186483764648435,0.47043121337890625,0.47276788330078123,0.000850985926330157,13.659777315422142,13.653170208937267,13.694777814011594
torch.copy_.event.nb=True,D2H,pageable,6442450944,7,3,0.4686050066266741,0.46875128173828123,0.46816665649414063,0.4689954833984375,0.00032805993433574436,13.748147913264914,13.743857766338921,13.761020471308662
vllm.CudaRTLibrary.cudaMemcpy.wall,H2D,pageable,6442450944,7,3,0.4728233166305082,0.47104299906641245,0.47038533072918653,0.4834704976528883,0.0047275107849665265,13.625493323618192,13.676991180781094,13.696113639455929
vllm.CudaRTLibrary.cudaMemcpy.wall,D2H,pageable,6442450944,7,3,0.4690135597650494,0.4688394609838724,0.4683146756142378,0.4700123770162463,0.0006059936190463621,13.736172035681276,13.741272823922161,13.756671057873925
