system,run_id,method,model,prompt_name,repeat_index,operation,phase,pid,latency_s,copy_d2h_s,copy_h2d_s,create_map_s,unmap_release_s,metadata_s,cpu_backup_alloc_s,cpu_backup_data_ptr_s,assign_backup_s,discard_accounting_s,loop_s,loop_accounted_s,loop_unaccounted_s,logger_s,gc_s,empty_cache_s,accounted_s,unaccounted_s,allocator_sleep_s,allocator_wake_up_s,buffer_backup_s,restore_buffers_s,post_kv_cache_wake_up_s,get_iterator_s,iterator_first_yield_s,iterator_total_s,iterator_gap_s,iterator_consumer_s,initialize_layerwise_reload_s,model_load_weights_s,finalize_layerwise_reload_s,is_checkpoint_format,weights_from_disk,weights_path,iterator_tensor_count,iterator_tensor_bytes,cpu_backup_pin_memory,allocation_count,total_bytes,backup_bytes,discard_bytes,bytes,bytes_by_tag,backup_bytes_by_tag,discard_bytes_by_tag,restored_bytes_by_tag,remapped_without_backup_bytes_by_tag
vllm,20260611_205014_sleep_l2_short_short_0_07abc3b6,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,0,sleep,allocator_sleep,1876618,0.10376024199649692,0.0,,,0.09936762787401676,1.6019679605960846e-05,0.0,0.0,0.0,9.403098374605179e-06,0.09945304598659277,0.09943034779280424,2.2698193788528442e-05,0.0001238267868757248,0.0007051741704344749,0.0034773130901157856,0.10375936003401875,8.819624781608582e-07,,,,,,,,,,,,,,,,,,,True,104,4601151488,0,4601151488,,"{""kv_cache"": 1350565888, ""weights"": 3250585600}",{},"{""kv_cache"": 1350565888, ""weights"": 3250585600}",{},{}
vllm,20260611_205014_sleep_l2_short_short_0_07abc3b6,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,0,sleep,worker_sleep,1876618,0.10848659602925181,,,,,,,,,,,,,,,,,,0.10412530601024628,,0.004186544101685286,,,,,,,,,,,,,,,,,,,,,,{},{},{},{},{}
vllm,20260611_205014_sleep_l2_short_short_0_07abc3b6,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,0,sleep,executor_sleep,1876618,0.10855278512462974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},{},{},{}
vllm,20260611_205014_sleep_l2_short_short_0_07abc3b6,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,0,wake_weights,allocator_wake_up,1876618,0.0806454629637301,,0.0,0.08059403439983726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,3250585600,"{""weights"": 3250585600}",{},{},{},"{""weights"": 3250585600}"
vllm,20260611_205014_sleep_l2_short_short_0_07abc3b6,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,0,wake_weights,worker_wake_up,1876618,0.0826182421296835,,,,,,,,,,,,,,,,,,,0.08075953181833029,,0.0018546851351857185,0.0,,,,,,,,,,,,,,,,,,,,{},{},{},{},{}
vllm,20260611_205014_sleep_l2_short_short_0_07abc3b6,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,0,wake_weights,executor_wake_up,1876618,0.08270943583920598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},{},{},{}
vllm,20260611_205014_sleep_l2_short_short_0_07abc3b6,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,0,reload_weights,reload_weights,1876618,0.4762002476491034,,,,,,,,,,,,,,,,0.47609162563458085,,,,,,,1.127505674958229e-05,0.0011794278398156166,0.4677908648736775,0.011006842367351055,0.45678402250632644,0.0058037033304572105,0.46876200707629323,0.0015146401710808277,True,True,,338,3087428608,,,,,,,{},{},{},{},{}
vllm,20260611_205014_sleep_l2_short_short_0_07abc3b6,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,0,wake_kv_cache,allocator_wake_up,1876618,0.029793253168463707,,0.0,0.02975501725450158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,1350565888,"{""kv_cache"": 1350565888}",{},{},{},"{""kv_cache"": 1350565888}"
vllm,20260611_205014_sleep_l2_short_short_0_07abc3b6,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,0,wake_kv_cache,worker_wake_up,1876618,0.02995977597311139,,,,,,,,,,,,,,,,,,,0.02992052398622036,,0.0,3.4706201404333115e-05,,,,,,,,,,,,,,,,,,,,{},{},{},{},{}
vllm,20260611_205014_sleep_l2_short_short_0_07abc3b6,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,0,wake_kv_cache,executor_wake_up,1876618,0.030039507895708084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},{},{},{}
vllm,20260611_205046_sleep_l2_short_short_1_47424e50,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,1,sleep,allocator_sleep,1877023,0.10373904788866639,0.0,,,0.09936503041535616,1.6993843019008636e-05,0.0,0.0,0.0,9.288080036640167e-06,0.09945683181285858,0.09943408891558647,2.2742897272109985e-05,0.00011881766840815544,0.0006559961475431919,0.0035065989941358566,0.10373824462294579,8.032657206058502e-07,,,,,,,,,,,,,,,,,,,True,104,4601151488,0,4601151488,,"{""kv_cache"": 1350565888, ""weights"": 3250585600}",{},"{""kv_cache"": 1350565888, ""weights"": 3250585600}",{},{}
vllm,20260611_205046_sleep_l2_short_short_1_47424e50,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,1,sleep,worker_sleep,1877023,0.1085573062300682,,,,,,,,,,,,,,,,,,0.10404158104211092,,0.004319359082728624,,,,,,,,,,,,,,,,,,,,,,{},{},{},{},{}
vllm,20260611_205046_sleep_l2_short_short_1_47424e50,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,1,sleep,executor_sleep,1877023,0.1086232028901577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},{},{},{}
vllm,20260611_205046_sleep_l2_short_short_1_47424e50,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,1,wake_weights,allocator_wake_up,1877023,0.08068282902240753,,0.0,0.08062668656930327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,3250585600,"{""weights"": 3250585600}",{},{},{},"{""weights"": 3250585600}"
vllm,20260611_205046_sleep_l2_short_short_1_47424e50,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,1,wake_weights,worker_wake_up,1877023,0.08262678794562817,,,,,,,,,,,,,,,,,,,0.08079595305025578,,0.0018281061202287674,0.0,,,,,,,,,,,,,,,,,,,,{},{},{},{},{}
vllm,20260611_205046_sleep_l2_short_short_1_47424e50,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,1,wake_weights,executor_wake_up,1877023,0.08274073014035821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},{},{},{}
vllm,20260611_205046_sleep_l2_short_short_1_47424e50,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,1,reload_weights,reload_weights,1877023,0.53594223363325,,,,,,,,,,,,,,,,0.5358456657268107,,,,,,,1.1050142347812653e-05,0.001116730272769928,0.5255292961373925,0.018212967086583376,0.5073163290508091,0.005745864938944578,0.526755831670016,0.0033329189755022526,True,True,,338,3087428608,,,,,,,{},{},{},{},{}
vllm,20260611_205046_sleep_l2_short_short_1_47424e50,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,1,wake_kv_cache,allocator_wake_up,1877023,0.029842569027096033,,0.0,0.029787530191242695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,1350565888,"{""kv_cache"": 1350565888}",{},{},{},"{""kv_cache"": 1350565888}"
vllm,20260611_205046_sleep_l2_short_short_1_47424e50,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,1,wake_kv_cache,worker_wake_up,1877023,0.030009291134774685,,,,,,,,,,,,,,,,,,,0.0299733467400074,,0.0,3.116391599178314e-05,,,,,,,,,,,,,,,,,,,,{},{},{},{},{}
vllm,20260611_205046_sleep_l2_short_short_1_47424e50,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,1,wake_kv_cache,executor_wake_up,1877023,0.03007538476958871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},{},{},{}
vllm,20260611_205117_sleep_l2_short_short_2_9f2dbd81,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,2,sleep,allocator_sleep,1877433,0.10433122096583247,0.0,,,0.09994841180741787,1.9171275198459625e-05,0.0,0.0,0.0,9.652692824602127e-06,0.1000471692532301,0.10002045938745141,2.6709865778684616e-05,0.00011124741286039352,0.0008096056990325451,0.0033619259484112263,0.10432994831353426,1.2726522982120514e-06,,,,,,,,,,,,,,,,,,,True,104,4601151488,0,4601151488,,"{""kv_cache"": 1350565888, ""weights"": 3250585600}",{},"{""kv_cache"": 1350565888, ""weights"": 3250585600}",{},{}
vllm,20260611_205117_sleep_l2_short_short_2_9f2dbd81,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,2,sleep,worker_sleep,1877433,0.10917735984548926,,,,,,,,,,,,,,,,,,0.10465584136545658,,0.0043487269431352615,,,,,,,,,,,,,,,,,,,,,,{},{},{},{},{}
vllm,20260611_205117_sleep_l2_short_short_2_9f2dbd81,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,2,sleep,executor_sleep,1877433,0.10926382802426815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},{},{},{}
vllm,20260611_205117_sleep_l2_short_short_2_9f2dbd81,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,2,wake_weights,allocator_wake_up,1877433,0.08067346597090364,,0.0,0.08061464037746191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,3250585600,"{""weights"": 3250585600}",{},{},{},"{""weights"": 3250585600}"
vllm,20260611_205117_sleep_l2_short_short_2_9f2dbd81,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,2,wake_weights,worker_wake_up,1877433,0.08268908504396677,,,,,,,,,,,,,,,,,,,0.08078872924670577,,0.0018970207311213017,0.0,,,,,,,,,,,,,,,,,,,,{},{},{},{},{}
vllm,20260611_205117_sleep_l2_short_short_2_9f2dbd81,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,2,wake_weights,executor_wake_up,1877433,0.0827870462089777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},{},{},{}
vllm,20260611_205117_sleep_l2_short_short_2_9f2dbd81,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,2,reload_weights,reload_weights,1877433,0.4747878219932318,,,,,,,,,,,,,,,,0.4747060192748904,,,,,,,9.789131581783295e-06,0.001121015753597021,0.4666658737696707,0.010325664188712835,0.4563402095809579,0.005543698091059923,0.4676343281753361,0.0015182038769125938,True,True,,338,3087428608,,,,,,,{},{},{},{},{}
