model,pin_memory,gpu_memory_utilization,repeat_index,evict_latency_s,restore_latency_s,switch_latency_s,allocator_sleep_s,cpu_backup_alloc_s,copy_d2h_s,unmap_release_s,empty_cache_s,allocator_wake_s,copy_h2d_s,create_map_s
qwen2p5_0p5b,true,0.55,0,0.4608996380120516,0.10611794423311949,0.5670175822451711,0.457027112133801,0.3695076182484627,0.05607799161225557,0.027047949843108654,0.003962509799748659,0.10328800091519952,0.05912096751853824,0.044062893372029066
qwen2p5_0p5b,true,0.55,1,0.4574434948153794,0.10618433402851224,0.5636278288438916,0.4534397781826556,0.36704092798754573,0.05561346700415015,0.02641162881627679,0.0039628660306334496,0.10332943033427,0.059194037690758705,0.04402991710230708
qwen2p5_0p5b,true,0.55,2,0.4631855715997517,0.10600922396406531,0.569194795563817,0.45944877387955785,0.3725013476796448,0.05602285033091903,0.026525290682911873,0.003967831376940012,0.10343094123527408,0.05917969346046448,0.04414416430518031
qwen2p5_0p5b,false,0.55,0,0.3275952390395105,0.15777674922719598,0.48537198826670647,0.32380808610469103,0.0003678831271827221,0.2903986447490752,0.027645804919302464,0.005038317758589983,0.1541210152208805,0.08320628758519888,0.045759683940559626
qwen2p5_0p5b,false,0.55,1,0.3249014699831605,0.16041058721020818,0.4853120571933687,0.32116702292114496,0.0003372412174940109,0.2892055460251868,0.026250342838466167,0.005031973123550415,0.1570351799018681,0.08331349026411772,0.04844640474766493
qwen2p5_0p5b,false,0.55,2,0.32527385000139475,0.15853807888925076,0.4838119288906455,0.32153164222836494,0.0003224010579288006,0.2891223141923547,0.026695282198488712,0.005033749155700207,0.15518421540036798,0.08254943927749991,0.04572902759537101
qwen2p5_1p5b,true,0.55,0,0.9587051933631301,0.269724584184587,1.228429777547717,0.9550497718155384,0.7481119609437883,0.16954620787873864,0.032804947812110186,0.003338778857141733,0.2667364510707557,0.17807761952280998,0.08848845679312944
qwen2p5_1p5b,true,0.55,1,0.9877347098663449,0.26975000090897083,1.2574847107753158,0.9843276450410485,0.7734434711746871,0.1701708915643394,0.03298597037792206,0.007170253898948431,0.26687094988301396,0.17819172609597445,0.08851801278069615
qwen2p5_1p5b,true,0.55,2,0.970583513379097,0.269688508938998,1.240272022318095,0.967036996036768,0.7560352450236678,0.16979704471305013,0.033448615577071905,0.007163127884268761,0.26703723007813096,0.17837550723925233,0.08849814115092158
qwen2p5_1p5b,false,0.55,0,0.9328143279999495,0.4161535329185426,1.348967860918492,0.9292772118933499,0.0005762218497693539,0.8873783028684556,0.033018996473401785,0.007878337986767292,0.412526436150074,0.25164359994232655,0.09189929440617561
qwen2p5_1p5b,false,0.55,1,0.928336488083005,0.4302285397425294,1.3585650278255343,0.9251049221493304,0.0007771695964038372,0.8831928730942309,0.033533768728375435,0.00717028696089983,0.426486040931195,0.25410303100943565,0.09213807480409741
qwen2p5_1p5b,false,0.55,2,0.9417454088106751,0.4190592193044722,1.3608046281151474,0.9382999441586435,0.0005658464506268501,0.8958820728585124,0.03318295441567898,0.00823561567813158,0.4155455566942692,0.25185642670840025,0.09188837977126241
qwen2p5_3b,true,0.85,0,2.1252142610028386,0.5033747567795217,2.6285890177823603,2.1216565119102597,1.7461574422195554,0.3247156501747668,0.04291296470910311,0.007125136908143759,0.5002772058360279,0.36343434918671846,0.13658343767747283
qwen2p5_3b,true,0.85,1,2.1064897826872766,0.4956669732928276,2.602156755980104,2.102595987729728,1.7276472351513803,0.32413348322734237,0.04294826555997133,0.0071226381696760654,0.49276356818154454,0.35832181852310896,0.1342111541889608
qwen2p5_3b,true,0.85,2,2.1124499938450754,0.49938127398490906,2.6118312678299844,2.1086852275766432,1.7333040167577565,0.32464754953980446,0.04284919798374176,0.007129386067390442,0.4964357730932534,0.36148455180227757,0.13469777209684253
qwen2p5_3b,false,0.85,0,1.7843080619350076,0.7780339908786118,2.5623420528136194,1.780834007076919,0.0010215947404503822,1.7332714735530317,0.03730387380346656,0.008716627955436707,0.7739347838796675,0.4925558618269861,0.14030209509655833
qwen2p5_3b,false,0.85,1,1.758705004118383,0.7858144887723029,2.544519492890686,1.7551764980889857,0.0007871398702263832,1.7067161635495722,0.038995370268821716,0.008154741022735834,0.7817632593214512,0.5002493634819984,0.14066116837784648
qwen2p5_3b,false,0.85,2,1.7581596057862043,0.7800886230543256,2.53824822884053,1.754741829354316,0.0008016787469387054,1.7063829856924713,0.0383190643042326,0.008749851025640965,0.7760650119744241,0.4910971443168819,0.13750924682244658
