system,run_id,method,model,prompt_name,repeat_index,operation,phase,pid,latency_s,copy_d2h_s,copy_h2d_s,create_map_s,unmap_release_s,metadata_s,cpu_backup_alloc_s,cpu_backup_data_ptr_s,assign_backup_s,discard_accounting_s,loop_s,loop_accounted_s,loop_unaccounted_s,logger_s,gc_s,empty_cache_s,accounted_s,unaccounted_s,allocator_sleep_s,allocator_wake_up_s,buffer_backup_s,restore_buffers_s,post_kv_cache_wake_up_s,cpu_backup_pin_memory,allocation_count,total_bytes,backup_bytes,discard_bytes,bytes,bytes_by_tag,backup_bytes_by_tag,discard_bytes_by_tag,restored_bytes_by_tag,remapped_without_backup_bytes_by_tag
vllm,20260608_162456_sleep_l1_short_short_0_e264b413,sleep_l1,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,0,sleep,allocator_sleep,1251578,1.780834007076919,1.7332714735530317,,,0.03730387380346656,5.979090929031372e-05,0.0010215947404503822,3.376137465238571e-05,2.4056527763605118e-05,5.139503628015518e-06,1.7718750317580998,1.771828840021044,4.6191737055778503e-05,0.00010858988389372826,0.00013301707804203033,0.008716627955436707,1.7808332666754723,7.404014468193054e-07,,,,,,False,148,7748976640,6314524672,1434451968,,"{""kv_cache"": 1434451968, ""weights"": 6314524672}","{""weights"": 6314524672}","{""kv_cache"": 1434451968}",{},{}
vllm,20260608_162456_sleep_l1_short_short_0_e264b413,sleep_l1,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,0,sleep,worker_sleep,1251578,1.7811423339881003,,,,,,,,,,,,,,,,,,1.7809983529150486,,0.0,,,,,,,,,{},{},{},{},{}
vllm,20260608_162456_sleep_l1_short_short_0_e264b413,sleep_l1,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,0,sleep,executor_sleep,1251578,1.781200832221657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},{},{},{}
vllm,20260608_162456_sleep_l1_short_short_0_e264b413,sleep_l1,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,0,wake,allocator_wake_up,1251578,0.7739347838796675,,0.4925558618269861,0.14030209509655833,,,,,,,,,,,,,,,,,,,,,148,,,,7748976640,"{""kv_cache"": 1434451968, ""weights"": 6314524672}",{},{},"{""weights"": 6314524672}","{""kv_cache"": 1434451968}"
vllm,20260608_162456_sleep_l1_short_short_0_e264b413,sleep_l1,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,0,wake,worker_wake_up,1251578,0.7751193302683532,,,,,,,,,,,,,,,,,,,0.7750881514512002,,0.0,2.741767093539238e-05,,,,,,,{},{},{},{},{}
vllm,20260608_162456_sleep_l1_short_short_0_e264b413,sleep_l1,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,0,wake,executor_wake_up,1251578,0.7751908022910357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},{},{},{}
vllm,20260608_162520_sleep_l1_short_short_1_6fd302a9,sleep_l1,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,1,sleep,allocator_sleep,1251879,1.7551764980889857,1.7067161635495722,,,0.038995370268821716,5.503557622432709e-05,0.0007871398702263832,2.824980765581131e-05,2.1358486264944077e-05,5.59026375412941e-06,1.7467596442438662,1.7467125030234456,4.7141220420598984e-05,0.00012200511991977692,0.00013946322724223137,0.008154741022735834,1.755175853613764,6.444752216339111e-07,,,,,,False,148,7748976640,6314524672,1434451968,,"{""kv_cache"": 1434451968, ""weights"": 6314524672}","{""weights"": 6314524672}","{""kv_cache"": 1434451968}",{},{}
vllm,20260608_162520_sleep_l1_short_short_1_6fd302a9,sleep_l1,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,1,sleep,worker_sleep,1251879,1.7554961489513516,,,,,,,,,,,,,,,,,,1.7553468807600439,,0.0,,,,,,,,,{},{},{},{},{}
vllm,20260608_162520_sleep_l1_short_short_1_6fd302a9,sleep_l1,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,1,sleep,executor_sleep,1251879,1.7555569112300873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},{},{},{}
vllm,20260608_162520_sleep_l1_short_short_1_6fd302a9,sleep_l1,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,1,wake,allocator_wake_up,1251879,0.7817632593214512,,0.5002493634819984,0.14066116837784648,,,,,,,,,,,,,,,,,,,,,148,,,,7748976640,"{""kv_cache"": 1434451968, ""weights"": 6314524672}",{},{},"{""weights"": 6314524672}","{""kv_cache"": 1434451968}"
vllm,20260608_162520_sleep_l1_short_short_1_6fd302a9,sleep_l1,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,1,wake,worker_wake_up,1251879,0.7829338847659528,,,,,,,,,,,,,,,,,,,0.7829008926637471,,0.0,2.9453076422214508e-05,,,,,,,{},{},{},{},{}
vllm,20260608_162520_sleep_l1_short_short_1_6fd302a9,sleep_l1,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,1,wake,executor_wake_up,1251879,0.7830000747926533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},{},{},{}
vllm,20260608_162544_sleep_l1_short_short_2_8dc8d05b,sleep_l1,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,2,sleep,allocator_sleep,1252173,1.754741829354316,1.7063829856924713,,,0.0383190643042326,5.445815622806549e-05,0.0008016787469387054,2.7476809918880463e-05,2.2055115550756454e-05,6.491784006357193e-06,1.7457635952159762,1.745717832352966,4.5762863010168076e-05,0.00010201241821050644,0.0001257290132343769,0.008749851025640965,1.754741187673062,6.416812539100647e-07,,,,,,False,148,7748976640,6314524672,1434451968,,"{""kv_cache"": 1434451968, ""weights"": 6314524672}","{""weights"": 6314524672}","{""kv_cache"": 1434451968}",{},{}
vllm,20260608_162544_sleep_l1_short_short_2_8dc8d05b,sleep_l1,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,2,sleep,worker_sleep,1252173,1.7550334292463958,,,,,,,,,,,,,,,,,,1.7548932079225779,,0.0,,,,,,,,,{},{},{},{},{}
vllm,20260608_162544_sleep_l1_short_short_2_8dc8d05b,sleep_l1,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,2,sleep,executor_sleep,1252173,1.7550970609299839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},{},{},{}
vllm,20260608_162544_sleep_l1_short_short_2_8dc8d05b,sleep_l1,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,2,wake,allocator_wake_up,1252173,0.7760650119744241,,0.4910971443168819,0.13750924682244658,,,,,,,,,,,,,,,,,,,,,148,,,,7748976640,"{""kv_cache"": 1434451968, ""weights"": 6314524672}",{},{},"{""weights"": 6314524672}","{""kv_cache"": 1434451968}"
vllm,20260608_162544_sleep_l1_short_short_2_8dc8d05b,sleep_l1,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,2,wake,worker_wake_up,1252173,0.777276867069304,,,,,,,,,,,,,,,,,,,0.7772427769377828,,0.0,2.9935967177152634e-05,,,,,,,{},{},{},{},{}
vllm,20260608_162544_sleep_l1_short_short_2_8dc8d05b,sleep_l1,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,2,wake,executor_wake_up,1252173,0.7773493910208344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},{},{},{}
