system,run_id,method,model,prompt_name,repeat_index,operation,phase,pid,latency_s,copy_d2h_s,copy_h2d_s,create_map_s,unmap_release_s,metadata_s,cpu_backup_alloc_s,cpu_backup_data_ptr_s,assign_backup_s,discard_accounting_s,loop_s,loop_accounted_s,loop_unaccounted_s,logger_s,gc_s,empty_cache_s,accounted_s,unaccounted_s,allocator_sleep_s,allocator_wake_up_s,buffer_backup_s,restore_buffers_s,post_kv_cache_wake_up_s,cpu_backup_pin_memory,allocation_count,total_bytes,backup_bytes,discard_bytes,bytes,bytes_by_tag,backup_bytes_by_tag,discard_bytes_by_tag,restored_bytes_by_tag,remapped_without_backup_bytes_by_tag
vllm,20260608_162341_sleep_l1_short_short_0_9a68ab3a,sleep_l1,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,0,sleep,allocator_sleep,1250651,2.1216565119102597,0.3247156501747668,,,0.04291296470910311,9.995512664318085e-05,1.7461574422195554,0.0001259390264749527,4.4310931116342545e-05,4.993751645088196e-06,2.114285523071885,2.1142144054174423,7.111765444278717e-05,0.0001065228134393692,0.00013853609561920166,0.007125136908143759,2.1216557188890874,7.9302117228508e-07,,,,,,True,148,7748976640,6314524672,1434451968,,"{""kv_cache"": 1434451968, ""weights"": 6314524672}","{""weights"": 6314524672}","{""kv_cache"": 1434451968}",{},{}
vllm,20260608_162341_sleep_l1_short_short_0_9a68ab3a,sleep_l1,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,0,sleep,worker_sleep,1250651,2.1219670861028135,,,,,,,,,,,,,,,,,,2.121824965812266,,0.0,,,,,,,,,{},{},{},{},{}
vllm,20260608_162341_sleep_l1_short_short_0_9a68ab3a,sleep_l1,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,0,sleep,executor_sleep,1250651,2.122045566793531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},{},{},{}
vllm,20260608_162341_sleep_l1_short_short_0_9a68ab3a,sleep_l1,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,0,wake,allocator_wake_up,1250651,0.5002772058360279,,0.36343434918671846,0.13658343767747283,,,,,,,,,,,,,,,,,,,,,148,,,,7748976640,"{""kv_cache"": 1434451968, ""weights"": 6314524672}",{},{},"{""weights"": 6314524672}","{""kv_cache"": 1434451968}"
vllm,20260608_162341_sleep_l1_short_short_0_9a68ab3a,sleep_l1,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,0,wake,worker_wake_up,1250651,0.5004552067257464,,,,,,,,,,,,,,,,,,,0.5004217000678182,,0.0,3.064470365643501e-05,,,,,,,{},{},{},{},{}
vllm,20260608_162341_sleep_l1_short_short_0_9a68ab3a,sleep_l1,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,0,wake,executor_wake_up,1250651,0.5005136067047715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},{},{},{}
vllm,20260608_162406_sleep_l1_short_short_1_570497b0,sleep_l1,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,1,sleep,allocator_sleep,1250953,2.102595987729728,0.32413348322734237,,,0.04294826555997133,9.428616613149643e-05,1.7276472351513803,0.0001289653591811657,4.465645179152489e-05,5.842186510562897e-06,2.0952278757467866,2.095163643360138,6.423238664865494e-05,0.0001077861525118351,0.0001370469108223915,0.0071226381696760654,2.102595346979797,6.407499313354492e-07,,,,,,True,148,7748976640,6314524672,1434451968,,"{""kv_cache"": 1434451968, ""weights"": 6314524672}","{""weights"": 6314524672}","{""kv_cache"": 1434451968}",{},{}
vllm,20260608_162406_sleep_l1_short_short_1_570497b0,sleep_l1,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,1,sleep,worker_sleep,1250953,2.1029145000502467,,,,,,,,,,,,,,,,,,2.1027752342633903,,0.0,,,,,,,,,{},{},{},{},{}
vllm,20260608_162406_sleep_l1_short_short_1_570497b0,sleep_l1,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,1,sleep,executor_sleep,1250953,2.1029782402329147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},{},{},{}
vllm,20260608_162406_sleep_l1_short_short_1_570497b0,sleep_l1,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,1,wake,allocator_wake_up,1250953,0.49276356818154454,,0.35832181852310896,0.1342111541889608,,,,,,,,,,,,,,,,,,,,,148,,,,7748976640,"{""kv_cache"": 1434451968, ""weights"": 6314524672}",{},{},"{""weights"": 6314524672}","{""kv_cache"": 1434451968}"
