model,method,pin_memory,gpu_memory_utilization,repeat_index,evict_latency_s,restore_latency_s,switch_latency_s,allocator_sleep_s,cpu_backup_alloc_s,copy_d2h_s,unmap_release_s,empty_cache_s,allocator_wake_s,copy_h2d_s,create_map_s
qwen2p5_0p5b,sleep_l2,true,0.55,0,0.05878128297626972,0.23621042259037495,0.29499170556664467,0.05224582878872752,0.0,0.0,0.04691619798541069,0.0050381203182041645,0.023081781342625618,0.0,0.023045718669891357
qwen2p5_0p5b,sleep_l2,true,0.55,1,0.059870332945138216,0.23407644964754581,0.29394678259268403,0.05261520994827151,0.0,0.0,0.04727232689037919,0.0050459569320082664,0.023168768268078566,0.0,0.023133729118853807
qwen2p5_0p5b,sleep_l2,true,0.55,2,0.05758993700146675,0.22763432003557682,0.28522425703704357,0.05136402789503336,0.0,0.0,0.047106373123824596,0.003975466825067997,0.023152380250394344,0.0,0.023112664464861155
qwen2p5_0p5b,sleep_l2,false,0.55,0,0.059142939280718565,0.23154446575790644,0.290687405038625,0.05243576783686876,0.0,0.0,0.047107784543186426,0.005059142597019672,0.023147243075072765,0.0,0.023114034440368414
qwen2p5_0p5b,sleep_l2,false,0.55,1,0.05916990712285042,0.23061768291518092,0.28978759003803134,0.05255474057048559,0.0,0.0,0.047211934346705675,0.005053292028605938,0.02315504988655448,0.0,0.023119130171835423
qwen2p5_0p5b,sleep_l2,false,0.55,2,0.05873020924627781,0.22987534990534186,0.2886055591516197,0.05260568903759122,0.0,0.0,0.04729642439633608,0.005043600220233202,0.023471147753298283,0.0,0.02343785436823964
qwen2p5_1p5b,sleep_l2,true,0.55,0,0.11423717485740781,0.5806741756387055,0.6949113504961133,0.10651402501389384,0.0,0.0,0.09833427285775542,0.007832631003111601,0.07021055184304714,0.0,0.07015352975577116
qwen2p5_1p5b,sleep_l2,true,0.55,1,0.11576822772622108,0.5800433498807251,0.6958115776069462,0.1078543309122324,0.0,0.0,0.09928188659250736,0.008234953973442316,0.07080228393897414,0.0,0.07074794080108404
qwen2p5_1p5b,sleep_l2,true,0.55,2,0.11502826539799571,0.5875327298417687,0.7025609952397645,0.10736392624676228,0.0,0.0,0.09915959602221847,0.007882398087531328,0.07080110488459468,0.0,0.07074678502976894
qwen2p5_1p5b,sleep_l2,false,0.55,0,0.11501321196556091,0.5933849820867181,0.708398194052279,0.10733773186802864,0.0,0.0,0.09913752879947424,0.007884202990680933,0.07080889493227005,0.0,0.07075390126556158
qwen2p5_1p5b,sleep_l2,false,0.55,1,0.11415894841775298,0.573666859883815,0.687825808301568,0.1064169742166996,0.0,0.0,0.0982380835339427,0.007838067132979631,0.07017087889835238,0.0,0.07011253898963332
qwen2p5_1p5b,sleep_l2,false,0.55,2,0.11630187788978219,0.580792335793376,0.6970942136831582,0.10853964136913419,0.0,0.0,0.09996464289724827,0.008253725711256266,0.07141235703602433,0.0,0.07135508581995964
qwen2p5_3b,sleep_l2,true,0.85,0,0.18088609911501408,1.3537389379926026,1.5346250371076167,0.17277349391952157,0.0,0.0,0.16436235141009092,0.007960710674524307,0.12995194364339113,0.0,0.12987217726185918
qwen2p5_3b,sleep_l2,true,0.85,1,0.18016216391697526,1.3442566362209618,1.524418800137937,0.1725842789746821,0.0,0.0,0.16417185217142105,0.007991979829967022,0.12999497586861253,0.0,0.12992112338542938
qwen2p5_3b,sleep_l2,true,0.85,2,0.18091960530728102,1.3434323999099433,1.5243520052172244,0.17272991593927145,0.0,0.0,0.1643061344511807,0.007983258925378323,0.12995472829788923,0.0,0.12987652327865362
qwen2p5_3b,sleep_l2,false,0.85,0,0.18041919125244021,1.3780317110940814,1.5584509023465216,0.17277178401127458,0.0,0.0,0.16432289965450764,0.008019011002033949,0.12999374512583017,0.0,0.12988379364833236
qwen2p5_3b,sleep_l2,false,0.85,1,0.18153556203469634,1.4681495409458876,1.649685102980584,0.17362902080640197,0.0,0.0,0.16451638424769044,0.00868431618437171,0.1299595502205193,0.0,0.12988265417516232
qwen2p5_3b,sleep_l2,false,0.85,2,0.18138822726905346,1.3613916388712823,1.5427798661403358,0.1726544201374054,0.0,0.0,0.16424704110249877,0.008035365026444197,0.13205812312662601,0.0,0.1319777867756784
