system,run_id,method,model,prompt_name,repeat_index,operation,phase,pid,latency_s,copy_d2h_s,copy_h2d_s,create_map_s,unmap_release_s,metadata_s,cpu_backup_alloc_s,cpu_backup_data_ptr_s,assign_backup_s,discard_accounting_s,loop_s,loop_accounted_s,loop_unaccounted_s,logger_s,gc_s,empty_cache_s,accounted_s,unaccounted_s,allocator_sleep_s,allocator_wake_up_s,buffer_backup_s,restore_buffers_s,post_kv_cache_wake_up_s,cpu_backup_pin_memory,allocation_count,total_bytes,backup_bytes,discard_bytes,bytes,bytes_by_tag,backup_bytes_by_tag,discard_bytes_by_tag,restored_bytes_by_tag,remapped_without_backup_bytes_by_tag
vllm,20260610_154528_sleep_l2_short_short_0_67496978,sleep_l2,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_short,0,sleep,allocator_sleep,1801482,0.05224582878872752,0.0,,,0.04691619798541069,1.0444782674312592e-05,0.0,0.0,0.0,5.594920367002487e-06,0.04697888996452093,0.046960295643657446,1.8594320863485336e-05,9.082118049263954e-05,0.00013723736628890038,0.0050381203182041645,0.052245068829506636,7.599592208862305e-07,,,,,,True,65,4773117952,0,4773117952,,"{""kv_cache"": 3724541952, ""weights"": 1048576000}",{},"{""kv_cache"": 3724541952, ""weights"": 1048576000}",{},{}
vllm,20260610_154528_sleep_l2_short_short_0_67496978,sleep_l2,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_short,0,sleep,worker_sleep,1801482,0.05533542297780514,,,,,,,,,,,,,,,,,,0.05240895180031657,,0.0027691838331520557,,,,,,,,,{},{},{},{},{}
vllm,20260610_154528_sleep_l2_short_short_0_67496978,sleep_l2,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_short,0,sleep,executor_sleep,1801482,0.05539409490302205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},{},{},{}
vllm,20260610_154528_sleep_l2_short_short_0_67496978,sleep_l2,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_short,0,wake_weights,allocator_wake_up,1801482,0.023081781342625618,,0.0,0.023045718669891357,,,,,,,,,,,,,,,,,,,,,41,,,,1048576000,"{""weights"": 1048576000}",{},{},{},"{""weights"": 1048576000}"
vllm,20260610_154528_sleep_l2_short_short_0_67496978,sleep_l2,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_short,0,wake_weights,worker_wake_up,1801482,0.024616712238639593,,,,,,,,,,,,,,,,,,,0.023199006915092468,,0.0014146938920021057,0.0,,,,,,,{},{},{},{},{}
vllm,20260610_154528_sleep_l2_short_short_0_67496978,sleep_l2,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_short,0,wake_weights,executor_wake_up,1801482,0.02470124512910843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},{},{},{}
vllm,20260610_154528_sleep_l2_short_short_0_67496978,sleep_l2,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_short,0,wake_kv_cache,allocator_wake_up,1801482,0.025440217927098274,,0.0,0.025409646332263947,,,,,,,,,,,,,,,,,,,,,24,,,,3724541952,"{""kv_cache"": 3724541952}",{},{},{},"{""kv_cache"": 3724541952}"
vllm,20260610_154528_sleep_l2_short_short_0_67496978,sleep_l2,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_short,0,wake_kv_cache,worker_wake_up,1801482,0.025599447079002857,,,,,,,,,,,,,,,,,,,0.02555853594094515,,0.0,3.603799268603325e-05,,,,,,,{},{},{},{},{}
vllm,20260610_154528_sleep_l2_short_short_0_67496978,sleep_l2,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_short,0,wake_kv_cache,executor_wake_up,1801482,0.025659173727035522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},{},{},{}
vllm,20260610_154545_sleep_l2_short_short_1_6a76dc32,sleep_l2,/home/ljl/models/hf/Qwen2.5-0.5B-Instruct,short_short,1,sleep,allocator_sleep,1801767,0.05261520994827151,0.0,,,0.04727232689037919,1.4062505215406418e-05,0.0,0.0,0.0,6.62216916680336e-06,0.047346861101686954,0.04732612054795027,2.0740553736686707e-05,9.407894685864449e-05,0.00012733414769172668,0.0050459569320082664,0.05261423112824559,9.78820025920868e-07,,,,,,True,65,4773117952,0,4773117952,,"{""kv_cache"": 3724541952, ""weights"": 1048576000}",{},"{""kv_cache"": 3724541952, ""weights"": 1048576000}",{},{}
