system,run_id,method,model,prompt_name,repeat_index,operation,phase,pid,latency_s,copy_d2h_s,copy_h2d_s,create_map_s,unmap_release_s,metadata_s,cpu_backup_alloc_s,cpu_backup_data_ptr_s,assign_backup_s,discard_accounting_s,loop_s,loop_accounted_s,loop_unaccounted_s,logger_s,gc_s,empty_cache_s,accounted_s,unaccounted_s,allocator_sleep_s,allocator_wake_up_s,buffer_backup_s,restore_buffers_s,post_kv_cache_wake_up_s,cpu_backup_pin_memory,allocation_count,total_bytes,backup_bytes,discard_bytes,bytes,bytes_by_tag,backup_bytes_by_tag,discard_bytes_by_tag,restored_bytes_by_tag,remapped_without_backup_bytes_by_tag
vllm,20260610_154806_sleep_l2_short_short_0_600180e0,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,0,sleep,allocator_sleep,1805061,0.10733773186802864,0.0,,,0.09913752879947424,1.605972647666931e-05,0.0,0.0,0.0,9.571202099323273e-06,0.0992234330624342,0.09920145105570555,2.198200672864914e-05,0.00010151369497179985,0.00012793391942977905,0.007884202990680933,0.10733708366751671,6.48200511932373e-07,,,,,,False,104,4601151488,0,4601151488,,"{""kv_cache"": 1350565888, ""weights"": 3250585600}",{},"{""kv_cache"": 1350565888, ""weights"": 3250585600}",{},{}
vllm,20260610_154806_sleep_l2_short_short_0_600180e0,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,0,sleep,worker_sleep,1805061,0.11191748594865203,,,,,,,,,,,,,,,,,,0.10749769164249301,,0.0042763748206198215,,,,,,,,,{},{},{},{},{}
vllm,20260610_154806_sleep_l2_short_short_0_600180e0,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,0,sleep,executor_sleep,1805061,0.11198267713189125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},{},{},{}
vllm,20260610_154806_sleep_l2_short_short_0_600180e0,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,0,wake_weights,allocator_wake_up,1805061,0.07080889493227005,,0.0,0.07075390126556158,,,,,,,,,,,,,,,,,,,,,76,,,,3250585600,"{""weights"": 3250585600}",{},{},{},"{""weights"": 3250585600}"
vllm,20260610_154806_sleep_l2_short_short_0_600180e0,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,0,wake_weights,worker_wake_up,1805061,0.07277873205021024,,,,,,,,,,,,,,,,,,,0.07092068158090115,,0.0018544052727520466,0.0,,,,,,,{},{},{},{},{}
vllm,20260610_154806_sleep_l2_short_short_0_600180e0,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,0,wake_weights,executor_wake_up,1805061,0.07286961795762181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},{},{},{}
vllm,20260610_154806_sleep_l2_short_short_0_600180e0,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,0,wake_kv_cache,allocator_wake_up,1805061,0.029810227919369936,,0.0,0.02977678505703807,,,,,,,,,,,,,,,,,,,,,28,,,,1350565888,"{""kv_cache"": 1350565888}",{},{},{},"{""kv_cache"": 1350565888}"
vllm,20260610_154806_sleep_l2_short_short_0_600180e0,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,0,wake_kv_cache,worker_wake_up,1805061,0.02995959483087063,,,,,,,,,,,,,,,,,,,0.029924008063971996,,0.0,3.186194226145744e-05,,,,,,,{},{},{},{},{}
vllm,20260610_154806_sleep_l2_short_short_0_600180e0,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,0,wake_kv_cache,executor_wake_up,1805061,0.030020751990377903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},{},{},{}
vllm,20260610_154825_sleep_l2_short_short_1_dde2994f,sleep_l2,/home/ljl/models/hf/Qwen2.5-1.5B-Instruct,short_short,1,sleep,allocator_sleep,1805737,0.1064169742166996,0.0,,,0.0982380835339427,1.6530975699424744e-05,0.0,0.0,0.0,1.0543502867221832e-05,0.09832580108195543,0.09830455156043172,2.1249521523714066e-05,0.00011617923155426979,0.00013627903535962105,0.007838067132979631,0.10641632648184896,6.477348506450653e-07,,,,,,False,104,4601151488,0,4601151488,,"{""kv_cache"": 1350565888, ""weights"": 3250585600}",{},"{""kv_cache"": 1350565888, ""weights"": 3250585600}",{},{}
