system,run_id,method,model,prompt_name,repeat_index,operation,phase,pid,latency_s,copy_d2h_s,copy_h2d_s,create_map_s,unmap_release_s,metadata_s,cpu_backup_alloc_s,cpu_backup_data_ptr_s,assign_backup_s,discard_accounting_s,loop_s,loop_accounted_s,loop_unaccounted_s,logger_s,gc_s,empty_cache_s,accounted_s,unaccounted_s,allocator_sleep_s,allocator_wake_up_s,buffer_backup_s,restore_buffers_s,post_kv_cache_wake_up_s,cpu_backup_pin_memory,allocation_count,total_bytes,backup_bytes,discard_bytes,bytes,bytes_by_tag,backup_bytes_by_tag,discard_bytes_by_tag,restored_bytes_by_tag,remapped_without_backup_bytes_by_tag
vllm,20260610_155012_sleep_l2_short_short_0_9d088868,sleep_l2,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,0,sleep,allocator_sleep,1807458,0.17277178401127458,0.0,,,0.16432289965450764,2.7826055884361267e-05,0.0,0.0,0.0,1.4262739568948746e-05,0.1644640858285129,0.1644284431822598,3.564264625310898e-05,0.00015617022290825844,0.00013151485472917557,0.008019011002033949,0.1727707819081843,1.0021030902862549e-06,,,,,,False,148,7748976640,0,7748976640,,"{""kv_cache"": 1434451968, ""weights"": 6314524672}",{},"{""kv_cache"": 1434451968, ""weights"": 6314524672}",{},{}
vllm,20260610_155012_sleep_l2_short_short_0_9d088868,sleep_l2,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,0,sleep,worker_sleep,1807458,0.17772513814270496,,,,,,,,,,,,,,,,,,0.17293516267091036,,0.004617736674845219,,,,,,,,,{},{},{},{},{}
vllm,20260610_155012_sleep_l2_short_short_0_9d088868,sleep_l2,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,0,sleep,executor_sleep,1807458,0.17778219189494848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},{},{},{}
vllm,20260610_155012_sleep_l2_short_short_0_9d088868,sleep_l2,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,0,wake_weights,allocator_wake_up,1807458,0.12999374512583017,,0.0,0.12988379364833236,,,,,,,,,,,,,,,,,,,,,112,,,,6314524672,"{""weights"": 6314524672}",{},{},{},"{""weights"": 6314524672}"
vllm,20260610_155012_sleep_l2_short_short_0_9d088868,sleep_l2,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,0,wake_weights,worker_wake_up,1807458,0.13595425430685282,,,,,,,,,,,,,,,,,,,0.1301172380335629,,0.005833304021507502,0.0,,,,,,,{},{},{},{},{}
vllm,20260610_155012_sleep_l2_short_short_0_9d088868,sleep_l2,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,0,wake_weights,executor_wake_up,1807458,0.1360638220794499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},{},{},{}
vllm,20260610_155012_sleep_l2_short_short_0_9d088868,sleep_l2,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,0,wake_kv_cache,allocator_wake_up,1807458,0.031535386107861996,,0.0,0.0314913890324533,,,,,,,,,,,,,,,,,,,,,36,,,,1434451968,"{""kv_cache"": 1434451968}",{},{},{},"{""kv_cache"": 1434451968}"
vllm,20260610_155012_sleep_l2_short_short_0_9d088868,sleep_l2,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,0,wake_kv_cache,worker_wake_up,1807458,0.03169494494795799,,,,,,,,,,,,,,,,,,,0.03165765292942524,,0.0,3.2825395464897156e-05,,,,,,,{},{},{},{},{}
vllm,20260610_155012_sleep_l2_short_short_0_9d088868,sleep_l2,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,0,wake_kv_cache,executor_wake_up,1807458,0.03176048304885626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},{},{},{}
vllm,20260610_155035_sleep_l2_short_short_1_86b581c2,sleep_l2,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,1,sleep,allocator_sleep,1807758,0.17362902080640197,0.0,,,0.16451638424769044,2.912338823080063e-05,0.0,0.0,0.0,1.430511474609375e-05,0.16466096881777048,0.16462652431800961,3.4444499760866165e-05,0.00014739995822310448,0.00013531092554330826,0.00868431618437171,0.1736279958859086,1.0249204933643341e-06,,,,,,False,148,7748976640,0,7748976640,,"{""kv_cache"": 1434451968, ""weights"": 6314524672}",{},"{""kv_cache"": 1434451968, ""weights"": 6314524672}",{},{}
