system,run_id,method,model,prompt_name,repeat_index,operation,phase,pid,latency_s,copy_d2h_s,copy_h2d_s,create_map_s,unmap_release_s,metadata_s,cpu_backup_alloc_s,cpu_backup_data_ptr_s,assign_backup_s,discard_accounting_s,loop_s,loop_accounted_s,loop_unaccounted_s,logger_s,gc_s,empty_cache_s,accounted_s,unaccounted_s,allocator_sleep_s,allocator_wake_up_s,buffer_backup_s,restore_buffers_s,post_kv_cache_wake_up_s,cpu_backup_pin_memory,allocation_count,total_bytes,backup_bytes,discard_bytes,bytes,bytes_by_tag,backup_bytes_by_tag,discard_bytes_by_tag,restored_bytes_by_tag,remapped_without_backup_bytes_by_tag
vllm,20260610_154903_sleep_l2_short_short_0_bb7de047,sleep_l2,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,0,sleep,allocator_sleep,1806425,0.17277349391952157,0.0,,,0.16436235141009092,2.813665196299553e-05,0.0,0.0,0.0,1.461617648601532e-05,0.16450036875903606,0.1644671601243317,3.3208634704351425e-05,0.00014379015192389488,0.00016779592260718346,0.007960710674524307,0.17277266550809145,8.284114301204681e-07,,,,,,True,148,7748976640,0,7748976640,,"{""kv_cache"": 1434451968, ""weights"": 6314524672}",{},"{""kv_cache"": 1434451968, ""weights"": 6314524672}",{},{}
vllm,20260610_154903_sleep_l2_short_short_0_bb7de047,sleep_l2,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,0,sleep,worker_sleep,1806425,0.17773991916328669,,,,,,,,,,,,,,,,,,0.17293712915852666,,0.004634072072803974,,,,,,,,,{},{},{},{},{}
vllm,20260610_154903_sleep_l2_short_short_0_bb7de047,sleep_l2,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,0,sleep,executor_sleep,1806425,0.17780646728351712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},{},{},{}
vllm,20260610_154903_sleep_l2_short_short_0_bb7de047,sleep_l2,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,0,wake_weights,allocator_wake_up,1806425,0.12995194364339113,,0.0,0.12987217726185918,,,,,,,,,,,,,,,,,,,,,112,,,,6314524672,"{""weights"": 6314524672}",{},{},{},"{""weights"": 6314524672}"
vllm,20260610_154903_sleep_l2_short_short_0_bb7de047,sleep_l2,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,0,wake_weights,worker_wake_up,1806425,0.13589608203619719,,,,,,,,,,,,,,,,,,,0.13006438175216317,,0.005828083958476782,0.0,,,,,,,{},{},{},{},{}
vllm,20260610_154903_sleep_l2_short_short_0_bb7de047,sleep_l2,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,0,wake_weights,executor_wake_up,1806425,0.13598855398595333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},{},{},{}
vllm,20260610_154903_sleep_l2_short_short_0_bb7de047,sleep_l2,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,0,wake_kv_cache,allocator_wake_up,1806425,0.031536155845969915,,0.0,0.031496478244662285,,,,,,,,,,,,,,,,,,,,,36,,,,1434451968,"{""kv_cache"": 1434451968}",{},{},{},"{""kv_cache"": 1434451968}"
vllm,20260610_154903_sleep_l2_short_short_0_bb7de047,sleep_l2,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,0,wake_kv_cache,worker_wake_up,1806425,0.03169487090781331,,,,,,,,,,,,,,,,,,,0.031658423598855734,,0.0,3.106100484728813e-05,,,,,,,{},{},{},{},{}
vllm,20260610_154903_sleep_l2_short_short_0_bb7de047,sleep_l2,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,0,wake_kv_cache,executor_wake_up,1806425,0.03175077401101589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},{},{},{},{}
vllm,20260610_154926_sleep_l2_short_short_1_6a7c8067,sleep_l2,/home/ljl/models/hf/Qwen2.5-3B-Instruct,short_short,1,sleep,allocator_sleep,1806802,0.1725842789746821,0.0,,,0.16417185217142105,2.5229528546333313e-05,0.0,0.0,0.0,1.3913493603467941e-05,0.16430249623954296,0.1642709537409246,3.1542498618364334e-05,0.00012990040704607964,0.00015903078019618988,0.007991979829967022,0.17258340725675225,8.717179298400879e-07,,,,,,True,148,7748976640,0,7748976640,,"{""kv_cache"": 1434451968, ""weights"": 6314524672}",{},"{""kv_cache"": 1434451968, ""weights"": 6314524672}",{},{}
