run_id,method,prompt_name,phase,gpu_used_mib,cpu_used_mib,proc_rss_mib,proc_uss_mib
20260601_185457_cold_reload_short_short_0_c70cfe03,cold_reload,short_short,run_start,6,7621,,
20260601_185457_cold_reload_short_short_0_c70cfe03,cold_reload,short_short,api_ready,4904,10528,1282,970
20260601_185457_cold_reload_short_short_0_c70cfe03,cold_reload,short_short,infer_before_end,4904,10548,1282,970
20260601_185457_cold_reload_short_short_0_c70cfe03,cold_reload,short_short,evict_end,6,8042,,
20260601_185457_cold_reload_short_short_0_c70cfe03,cold_reload,short_short,restore_end,4904,10353,1277,964
20260601_185457_cold_reload_short_short_0_c70cfe03,cold_reload,short_short,infer_after_end,4904,10458,1277,965
20260601_185457_cold_reload_short_short_0_c70cfe03,cold_reload,short_short,run_end,6,7778,,
20260601_185531_cold_reload_short_short_1_711aec86,cold_reload,short_short,run_start,6,7771,,
20260601_185531_cold_reload_short_short_1_711aec86,cold_reload,short_short,api_ready,4904,10533,1286,974
20260601_185531_cold_reload_short_short_1_711aec86,cold_reload,short_short,infer_before_end,4904,10658,1286,974
20260601_185531_cold_reload_short_short_1_711aec86,cold_reload,short_short,evict_end,6,7929,,
20260601_185531_cold_reload_short_short_1_711aec86,cold_reload,short_short,restore_end,4904,10382,1283,970
20260601_185531_cold_reload_short_short_1_711aec86,cold_reload,short_short,infer_after_end,4904,10492,1283,970
20260601_185531_cold_reload_short_short_1_711aec86,cold_reload,short_short,run_end,6,8068,,
20260601_185604_cold_reload_short_short_2_a51918c2,cold_reload,short_short,run_start,6,8071,,
20260601_185604_cold_reload_short_short_2_a51918c2,cold_reload,short_short,api_ready,4904,10414,1282,970
20260601_185604_cold_reload_short_short_2_a51918c2,cold_reload,short_short,infer_before_end,4904,10520,1282,970
20260601_185604_cold_reload_short_short_2_a51918c2,cold_reload,short_short,evict_end,6,7892,,
20260601_185604_cold_reload_short_short_2_a51918c2,cold_reload,short_short,restore_end,4904,10353,1286,974
20260601_185604_cold_reload_short_short_2_a51918c2,cold_reload,short_short,infer_after_end,4904,10475,1286,974
20260601_185604_cold_reload_short_short_2_a51918c2,cold_reload,short_short,run_end,6,7990,,
20260601_185637_cold_reload_long_short_0_d91558af,cold_reload,long_short,run_start,6,7976,,
20260601_185637_cold_reload_long_short_0_d91558af,cold_reload,long_short,api_ready,4904,10410,1275,962
20260601_185637_cold_reload_long_short_0_d91558af,cold_reload,long_short,infer_before_end,4904,10543,1275,963
20260601_185637_cold_reload_long_short_0_d91558af,cold_reload,long_short,evict_end,6,8144,,
20260601_185637_cold_reload_long_short_0_d91558af,cold_reload,long_short,restore_end,4904,10514,1283,970
20260601_185637_cold_reload_long_short_0_d91558af,cold_reload,long_short,infer_after_end,4904,10648,1284,971
20260601_185637_cold_reload_long_short_0_d91558af,cold_reload,long_short,run_end,6,8046,,
20260601_185710_cold_reload_long_short_1_f2c29870,cold_reload,long_short,run_start,6,8040,,
20260601_185710_cold_reload_long_short_1_f2c29870,cold_reload,long_short,api_ready,4904,10387,1286,974
20260601_185710_cold_reload_long_short_1_f2c29870,cold_reload,long_short,infer_before_end,4904,10498,1288,975
20260601_185710_cold_reload_long_short_1_f2c29870,cold_reload,long_short,evict_end,6,8098,,
20260601_185710_cold_reload_long_short_1_f2c29870,cold_reload,long_short,restore_end,4904,10394,1283,970
20260601_185710_cold_reload_long_short_1_f2c29870,cold_reload,long_short,infer_after_end,4904,10512,1284,971
20260601_185710_cold_reload_long_short_1_f2c29870,cold_reload,long_short,run_end,6,8305,,
20260601_185744_cold_reload_long_short_2_91d1cb62,cold_reload,long_short,run_start,6,8290,,
20260601_185744_cold_reload_long_short_2_91d1cb62,cold_reload,long_short,api_ready,4904,10309,1278,966
20260601_185744_cold_reload_long_short_2_91d1cb62,cold_reload,long_short,infer_before_end,4904,10424,1279,967
20260601_185744_cold_reload_long_short_2_91d1cb62,cold_reload,long_short,evict_end,6,7786,,
20260601_185744_cold_reload_long_short_2_91d1cb62,cold_reload,long_short,restore_end,4904,10376,1286,974
20260601_185744_cold_reload_long_short_2_91d1cb62,cold_reload,long_short,infer_after_end,4904,10483,1288,975
20260601_185744_cold_reload_long_short_2_91d1cb62,cold_reload,long_short,run_end,6,7997,,
20260601_185817_cold_reload_short_long_0_635b94a4,cold_reload,short_long,run_start,6,7983,,
20260601_185817_cold_reload_short_long_0_635b94a4,cold_reload,short_long,api_ready,4904,10334,1278,966
20260601_185817_cold_reload_short_long_0_635b94a4,cold_reload,short_long,infer_before_end,4904,10445,1278,966
20260601_185817_cold_reload_short_long_0_635b94a4,cold_reload,short_long,evict_end,6,7989,,
20260601_185817_cold_reload_short_long_0_635b94a4,cold_reload,short_long,restore_end,4904,10368,1275,962
20260601_185817_cold_reload_short_long_0_635b94a4,cold_reload,short_long,infer_after_end,4904,10502,1275,962
20260601_185817_cold_reload_short_long_0_635b94a4,cold_reload,short_long,run_end,6,7823,,
20260601_185851_cold_reload_short_long_1_2728b453,cold_reload,short_long,run_start,6,7831,,
20260601_185851_cold_reload_short_long_1_2728b453,cold_reload,short_long,api_ready,4904,10394,1284,971
20260601_185851_cold_reload_short_long_1_2728b453,cold_reload,short_long,infer_before_end,4904,10506,1284,972
20260601_185851_cold_reload_short_long_1_2728b453,cold_reload,short_long,evict_end,6,8087,,
20260601_185851_cold_reload_short_long_1_2728b453,cold_reload,short_long,restore_end,4904,10355,1286,974
20260601_185851_cold_reload_short_long_1_2728b453,cold_reload,short_long,infer_after_end,4904,10470,1287,974
20260601_185851_cold_reload_short_long_1_2728b453,cold_reload,short_long,run_end,6,7749,,
20260601_185925_cold_reload_short_long_2_3933218e,cold_reload,short_long,run_start,6,7753,,
20260601_185925_cold_reload_short_long_2_3933218e,cold_reload,short_long,api_ready,4904,10536,1286,974
20260601_185925_cold_reload_short_long_2_3933218e,cold_reload,short_long,infer_before_end,4904,10658,1287,974
20260601_185925_cold_reload_short_long_2_3933218e,cold_reload,short_long,evict_end,6,8221,,
20260601_185925_cold_reload_short_long_2_3933218e,cold_reload,short_long,restore_end,4904,10327,1282,969
20260601_185925_cold_reload_short_long_2_3933218e,cold_reload,short_long,infer_after_end,4904,10445,1282,970
20260601_185925_cold_reload_short_long_2_3933218e,cold_reload,short_long,run_end,6,7742,,
20260601_185959_sleep_l1_short_short_0_f575f853,sleep_l1,short_short,run_start,6,7745,,
20260601_185959_sleep_l1_short_short_0_f575f853,sleep_l1,short_short,api_ready,4956,10559,1283,970
20260601_185959_sleep_l1_short_short_0_f575f853,sleep_l1,short_short,infer_before_end,4956,10542,1283,971
20260601_185959_sleep_l1_short_short_0_f575f853,sleep_l1,short_short,evict_end,914,12381,1283,971
20260601_185959_sleep_l1_short_short_0_f575f853,sleep_l1,short_short,restore_end,4506,12420,1283,971
20260601_185959_sleep_l1_short_short_0_f575f853,sleep_l1,short_short,infer_after_end,4508,12413,1283,971
20260601_185959_sleep_l1_short_short_0_f575f853,sleep_l1,short_short,run_end,6,8048,,
20260601_190018_sleep_l1_short_short_1_ee3e056d,sleep_l1,short_short,run_start,6,8033,,
20260601_190018_sleep_l1_short_short_1_ee3e056d,sleep_l1,short_short,api_ready,4956,10352,1286,974
20260601_190018_sleep_l1_short_short_1_ee3e056d,sleep_l1,short_short,infer_before_end,4956,10480,1287,974
20260601_190018_sleep_l1_short_short_1_ee3e056d,sleep_l1,short_short,evict_end,914,12264,1287,974
20260601_190018_sleep_l1_short_short_1_ee3e056d,sleep_l1,short_short,restore_end,4506,12252,1287,974
20260601_190018_sleep_l1_short_short_1_ee3e056d,sleep_l1,short_short,infer_after_end,4508,12250,1287,974
20260601_190018_sleep_l1_short_short_1_ee3e056d,sleep_l1,short_short,run_end,6,7994,,
20260601_190036_sleep_l1_short_short_2_010cda9b,sleep_l1,short_short,run_start,6,7983,,
20260601_190036_sleep_l1_short_short_2_010cda9b,sleep_l1,short_short,api_ready,4956,10433,1283,971
20260601_190036_sleep_l1_short_short_2_010cda9b,sleep_l1,short_short,infer_before_end,4956,10566,1283,971
20260601_190036_sleep_l1_short_short_2_010cda9b,sleep_l1,short_short,evict_end,914,12343,1283,971
20260601_190036_sleep_l1_short_short_2_010cda9b,sleep_l1,short_short,restore_end,4506,12298,1283,971
20260601_190036_sleep_l1_short_short_2_010cda9b,sleep_l1,short_short,infer_after_end,4508,12298,1283,971
20260601_190036_sleep_l1_short_short_2_010cda9b,sleep_l1,short_short,run_end,6,7815,,
20260601_190055_sleep_l1_long_short_0_69e4cfc7,sleep_l1,long_short,run_start,6,7825,,
20260601_190055_sleep_l1_long_short_0_69e4cfc7,sleep_l1,long_short,api_ready,4956,10374,1279,966
20260601_190055_sleep_l1_long_short_0_69e4cfc7,sleep_l1,long_short,infer_before_end,4956,10500,1279,967
20260601_190055_sleep_l1_long_short_0_69e4cfc7,sleep_l1,long_short,evict_end,914,12307,1279,967
20260601_190055_sleep_l1_long_short_0_69e4cfc7,sleep_l1,long_short,restore_end,4506,12289,1279,967
20260601_190055_sleep_l1_long_short_0_69e4cfc7,sleep_l1,long_short,infer_after_end,4508,12292,1280,967
20260601_190055_sleep_l1_long_short_0_69e4cfc7,sleep_l1,long_short,run_end,6,8070,,
20260601_190113_sleep_l1_long_short_1_3be455a3,sleep_l1,long_short,run_start,6,8056,,
20260601_190113_sleep_l1_long_short_1_3be455a3,sleep_l1,long_short,api_ready,4956,10614,1283,970
20260601_190113_sleep_l1_long_short_1_3be455a3,sleep_l1,long_short,infer_before_end,4956,10741,1284,971
20260601_190113_sleep_l1_long_short_1_3be455a3,sleep_l1,long_short,evict_end,914,12537,1284,971
20260601_190113_sleep_l1_long_short_1_3be455a3,sleep_l1,long_short,restore_end,4506,12527,1284,971
20260601_190113_sleep_l1_long_short_1_3be455a3,sleep_l1,long_short,infer_after_end,4508,12518,1284,971
20260601_190113_sleep_l1_long_short_1_3be455a3,sleep_l1,long_short,run_end,6,8020,,
20260601_190132_sleep_l1_long_short_2_2782cbc3,sleep_l1,long_short,run_start,6,8035,,
20260601_190132_sleep_l1_long_short_2_2782cbc3,sleep_l1,long_short,api_ready,4956,10480,1274,962
20260601_190132_sleep_l1_long_short_2_2782cbc3,sleep_l1,long_short,infer_before_end,4956,10568,1275,963
20260601_190132_sleep_l1_long_short_2_2782cbc3,sleep_l1,long_short,evict_end,914,12360,1275,963
20260601_190132_sleep_l1_long_short_2_2782cbc3,sleep_l1,long_short,restore_end,4506,12348,1275,963
20260601_190132_sleep_l1_long_short_2_2782cbc3,sleep_l1,long_short,infer_after_end,4508,12348,1276,963
20260601_190132_sleep_l1_long_short_2_2782cbc3,sleep_l1,long_short,run_end,6,7939,,
20260601_190150_sleep_l1_short_long_0_124714d7,sleep_l1,short_long,run_start,6,7921,,
20260601_190150_sleep_l1_short_long_0_124714d7,sleep_l1,short_long,api_ready,4956,10553,1284,972
20260601_190150_sleep_l1_short_long_0_124714d7,sleep_l1,short_long,infer_before_end,4956,10643,1285,972
20260601_190150_sleep_l1_short_long_0_124714d7,sleep_l1,short_long,evict_end,914,12446,1285,972
20260601_190150_sleep_l1_short_long_0_124714d7,sleep_l1,short_long,restore_end,4506,12413,1285,972
20260601_190150_sleep_l1_short_long_0_124714d7,sleep_l1,short_long,infer_after_end,4508,12414,1285,972
20260601_190150_sleep_l1_short_long_0_124714d7,sleep_l1,short_long,run_end,6,7963,,
20260601_190209_sleep_l1_short_long_1_4779ff73,sleep_l1,short_long,run_start,6,7951,,
20260601_190209_sleep_l1_short_long_1_4779ff73,sleep_l1,short_long,api_ready,4956,10348,1283,971
20260601_190209_sleep_l1_short_long_1_4779ff73,sleep_l1,short_long,infer_before_end,4956,10462,1284,971
20260601_190209_sleep_l1_short_long_1_4779ff73,sleep_l1,short_long,evict_end,914,12274,1284,971
20260601_190209_sleep_l1_short_long_1_4779ff73,sleep_l1,short_long,restore_end,4506,12235,1284,971
20260601_190209_sleep_l1_short_long_1_4779ff73,sleep_l1,short_long,infer_after_end,4508,12227,1284,971
20260601_190209_sleep_l1_short_long_1_4779ff73,sleep_l1,short_long,run_end,6,7928,,
20260601_190229_sleep_l1_short_long_2_f6259c48,sleep_l1,short_long,run_start,6,7928,,
20260601_190229_sleep_l1_short_long_2_f6259c48,sleep_l1,short_long,api_ready,4956,10592,1283,971
20260601_190229_sleep_l1_short_long_2_f6259c48,sleep_l1,short_long,infer_before_end,4956,10718,1284,971
20260601_190229_sleep_l1_short_long_2_f6259c48,sleep_l1,short_long,evict_end,914,12477,1284,971
20260601_190229_sleep_l1_short_long_2_f6259c48,sleep_l1,short_long,restore_end,4506,12455,1284,971
20260601_190229_sleep_l1_short_long_2_f6259c48,sleep_l1,short_long,infer_after_end,4508,12471,1284,971
