run_id,method,prompt_name,phase,gpu_used_mib,cpu_used_mib,proc_rss_mib,proc_uss_mib
20260528_204119_cold_reload_long_short_0_82100535,cold_reload,long_short,run_start,4408,14550,,
20260528_204119_cold_reload_long_short_0_82100535,cold_reload,long_short,api_ready,9303,17272,1282,969
20260528_204119_cold_reload_long_short_0_82100535,cold_reload,long_short,infer_before_end,9303,17393,1283,970
20260528_204119_cold_reload_long_short_0_82100535,cold_reload,long_short,evict_end,4408,14962,,
20260528_204119_cold_reload_long_short_0_82100535,cold_reload,long_short,restore_end,9303,17244,1283,970
20260528_204119_cold_reload_long_short_0_82100535,cold_reload,long_short,infer_after_end,9303,17367,1284,971
20260528_204119_cold_reload_long_short_0_82100535,cold_reload,long_short,run_end,4408,14729,,
20260528_204152_cold_reload_long_short_1_58a26c67,cold_reload,long_short,run_start,4408,14731,,
20260528_204152_cold_reload_long_short_1_58a26c67,cold_reload,long_short,api_ready,9303,17226,1283,969
20260528_204152_cold_reload_long_short_1_58a26c67,cold_reload,long_short,infer_before_end,9303,17348,1284,970
20260528_204152_cold_reload_long_short_1_58a26c67,cold_reload,long_short,evict_end,4408,14825,,
20260528_204152_cold_reload_long_short_1_58a26c67,cold_reload,long_short,restore_end,9303,17474,1283,969
20260528_204152_cold_reload_long_short_1_58a26c67,cold_reload,long_short,infer_after_end,9303,17500,1284,971
20260528_204152_cold_reload_long_short_1_58a26c67,cold_reload,long_short,run_end,4408,14805,,
20260528_204225_cold_reload_long_short_2_528c7d80,cold_reload,long_short,run_start,4408,14805,,
20260528_204225_cold_reload_long_short_2_528c7d80,cold_reload,long_short,api_ready,9303,17351,1285,972
20260528_204225_cold_reload_long_short_2_528c7d80,cold_reload,long_short,infer_before_end,9303,17461,1286,973
20260528_204225_cold_reload_long_short_2_528c7d80,cold_reload,long_short,evict_end,4408,14822,,
20260528_204225_cold_reload_long_short_2_528c7d80,cold_reload,long_short,restore_end,9303,17234,1282,969
